No,Category,Intent,Keywords,Prompt Template
1,Planning,Plan a new website/app,"plan, startup, new project, website, app","Plan a [Project Type] for [Target Audience]. The goal is [Primary Goal]. Recommend the best UI/UX style, color palette, and font pairing from your database. Suggest a landing page pattern and a dashboard style if applicable."
2,Building,Build a specific component,"build, component, button, modal, card, navbar","Build a [Component Name] using [Framework/Stack]. Apply a [Style Name] style. Ensure it follows UX guidelines for [Category] and is accessible (WCAG AA)."
3,Designing,Design a landing page,"design, landing page, hero section, conversion","Design a landing page for [Product/Service]. Use the [Pattern Name] pattern. Recommend a color strategy and specific effects to maximize conversion."
4,Reviewing,Review existing UI/UX code,"review, audit, check, improve, ux, ui","Review the following [Framework] code for UI/UX improvements. Check against your [Category] guidelines and accessibility standards. Suggest specific changes to enhance [User Goal]."
5,Fixing,Fix a UI/UX issue,"fix, bug, layout, alignment, contrast, accessibility","Fix the [Issue Description] in this [Framework] code. Ensure the solution follows [Style Name] principles and maintains high performance."
6,Optimizing,Optimize performance/accessibility,"optimize, performance, accessibility, speed, wcag","Optimize this [Component/Page] for better [Performance/Accessibility]. Focus on [Specific Metric, e.g., LCP, Contrast]. Recommend specific code changes or asset optimizations."
7,Enhancing,Enhance visuals/interactions,"enhance, improve, visual, interaction, animation, polish","Enhance the visual appeal and interactivity of this [Component]. Suggest subtle animations, better spacing, and improved typography using the [Style Name] aesthetic."
8,Refactoring,Refactor UI code for better structure,"refactor, structure, clean code, componentize, tailwind","Refactor this [Framework] UI code to be more modular and maintainable. Use [Tailwind/CSS] best practices and ensure consistent styling based on [Style Name]."
9,Creating,Create a color palette/typography,"create, palette, colors, typography, fonts, pairing","Create a [Color Palette / Typography Pairing] for a [Project Type] with a [Mood/Style] feel. Provide hex codes and font names with CSS/Tailwind configuration."
10,Implementing,Implement a complex UI pattern,"implement, pattern, bento grid, glassmorphism, 3d, parallax","Implement a [Pattern/Style Name] in [Framework]. Provide the full code and explain how it follows UI/UX best practices for [Use Case]."
11,Improving,Improve user flow/conversion,"improve, flow, conversion, signup, onboarding","Improve the [User Flow Name] for [Project Type]. Suggest changes to the layout, copy, and CTAs to increase [Conversion Metric]."
12,Checking,Check UI/UX consistency,"check, consistency, alignment, spacing, brand","Check this [Page/Component] for UI/UX consistency with [Brand Style]. Look for issues in spacing, alignment, and color usage."
